Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
34-0.0,0.44066666666666665,1.9525973006286863,False,0.0,0.0,,34-0.0,,
400-0.0,0.262,0.2112218325730856,False,3.7,10.2,,400-0.0,,
12651-0.0,0.14977777777777776,0.18432649024063363,True,87.6,98.6,,12651-0.0,,
2188-0.0_c1,0.08777777777777777,0.18308534760373407,False,0.0,0.0,,2188-0.0_c1,,
137-0.0,0.16533333333333333,0.10500581046236027,False,0.2,0.4,,137-0.0,,
6142-0.3_pos,0.006666666666666666,0.07185325577812043,False,0.0,0.0,,6142-0.3_pos,,
20110-0.4_pos,0.1788888888888889,0.06069703584444167,False,0.0,0.0,,20110-0.4_pos,,
20023-0.0,0.14222222222222222,0.050716163256328314,False,1.1,2.9,,20023-0.0,,
30710-0.0,0.19155555555555553,0.04862735224244092,False,6.7,8.1,,30710-0.0,,
2296-0.0_c0,0.08422222222222223,0.029365827660230406,False,0.0,0.0,,2296-0.0_c0,,
26555-0.0,0.026000000000000002,0.025423822557789945,True,90.6,98.4,,26555-0.0,,
3526-0.0,0.09399999999999999,0.024031052627525182,False,42.0,17.2,,3526-0.0,,
20107-0.4_pos,0.07644444444444444,0.0187067215486992,False,0.0,0.0,,20107-0.4_pos,,
30650-0.0,0.06377777777777777,0.017603458485977032,False,6.9,8.0,,30650-0.0,,
1200-0.0_c0,0.07844444444444444,0.017532502378236905,False,0.0,0.0,,1200-0.0_c0,,
1588-0.0,0.04377777777777778,0.016932170131709966,False,31.2,38.1,,1588-0.0,,
1835-0.0_c0,0.03177777777777778,0.016531209545113765,False,0.0,0.0,,1835-0.0_c0,,
1060-0.0,0.04844444444444444,0.01589932063447644,False,6.7,9.7,,1060-0.0,,
20110-0.1_neg,0.05577777777777777,0.01513277192800715,False,0.0,0.0,,20110-0.1_neg,,
20127-0.0,0.05177777777777778,0.01392461970783676,False,20.0,27.1,,20127-0.0,,
26643-0.0,0.009555555555555555,0.013324456569522813,True,90.6,98.4,,26643-0.0,,
30040-0.0,0.05222222222222222,0.013303236423059148,False,4.8,6.1,,30040-0.0,,
1080-0.0,0.030222222222222223,0.012781765636080767,False,1.9,3.8,,1080-0.0,,
4642-0.0_c1,0.043111111111111114,0.010201614587724978,False,0.0,0.0,,4642-0.0_c1,,
1090-0.0,0.03622222222222222,0.009078347594297499,False,2.0,3.6,,1090-0.0,,
3637-0.0_c6,0.03288888888888889,0.008870570392306067,False,0.0,0.0,,3637-0.0_c6,,
25629-0.0,0.008444444444444445,0.007910526108189772,True,91.1,98.8,,25629-0.0,,
30670-0.0,0.02622222222222222,0.007762415429519689,False,6.6,7.8,,30670-0.0,,
30510-0.0,0.033555555555555554,0.007661727647836086,False,3.6,5.7,,30510-0.0,,
1070-0.0,0.022,0.007020259926071315,False,1.1,2.3,,1070-0.0,,
